"","lon","lat","year","year90"
"1",75.9838,39.4707,"2015",73.7301
"2",75.9838,39.4707,"2016",48.6836215
"3",75.9838,39.4707,"2017",29.112212
"4",75.9838,39.4707,"2018",79.64282
"5",75.9934,39.4574,"2015",48.336748
"6",75.9934,39.4574,"2016",85.25512
"7",75.9934,39.4574,"2017",78.418364
"8",75.9934,39.4574,"2018",79.64282
"9",76.0097,39.467,"2015",72.622468
"10",76.0097,39.467,"2016",69.693905
"11",76.0097,39.467,"2017",84.204096
"12",76.1676,39.7145,"2015",69.326564
"13",76.1676,39.7145,"2016",66.02038
"14",76.1676,39.7145,"2017",84.908184
"15",76.1676,39.7145,"2018",80.198938
"16",79.9357,37.0925,"2015",59.89798
"17",79.9357,37.0925,"2016",62.95918
"18",79.9357,37.0925,"2017",62.3260734
"19",79.9357,37.0925,"2018",60.346956
"20",79.9371,37.1086,"2015",66.030584
"21",79.9371,37.1086,"2016",60.91838
"22",79.9371,37.1086,"2017",61.918372
"23",79.9371,37.1086,"2018",57.964322
"24",80.1084,32.5066,"2015",62.693876
"25",80.1084,32.5066,"2016",51.40305
"26",80.1084,32.5066,"2017",73.040832
"27",80.1084,32.5066,"2018",69.459207
"28",80.1105,32.4983,"2015",46.897984
"29",80.1105,32.4983,"2016",37.78061
"30",80.1105,32.4983,"2017",72.9260356
"31",80.1105,32.4983,"2018",69.459207
"32",80.2592,41.1672,"2015",82.377592
"33",80.2592,41.1672,"2016",100.0303355
"34",80.2592,41.1672,"2017",70.346976
"35",80.2592,41.1672,"2018",70.443914
"36",80.2858,41.164,"2015",76.806108
"37",80.2858,41.164,"2016",67.3222195
"38",80.2858,41.164,"2017",74.551024
"39",81.3123,43.9219,"2015",63.295912
"40",81.3123,43.9219,"2016",59.59186
"41",81.3123,43.9219,"2017",71.387784
"42",81.3123,43.9219,"2018",69.984704
"43",81.3224,43.88,"2015",66.275496
"44",81.3224,43.88,"2016",79.56629
"45",81.3224,43.88,"2017",76.112236
"46",81.3224,43.88,"2018",68.132657
"47",81.3265,43.9175,"2015",56.867362
"48",81.3265,43.9175,"2016",65.63773
"49",81.3265,43.9175,"2017",77.275492
"50",81.3265,43.9175,"2018",69.984704
"51",82.0199,44.9208,"2015",40.489772
"52",82.0199,44.9208,"2016",68.21424
"53",82.0199,44.9208,"2017",71.551048
"54",82.0199,44.9208,"2018",65.785688
"55",82.0836,44.8979,"2015",43.663286
"56",82.0836,44.8979,"2016",67.3469
"57",82.0836,44.8979,"2017",69.071446
"58",82.0836,44.8979,"2018",58.6735
"59",83.0146,46.7393,"2015",60.653064
"60",83.0146,46.7393,"2016",61.60715
"61",83.0146,46.7393,"2017",65.591812
"62",83.0146,46.7393,"2018",70.071459
"63",84.1233,45.6883,"2014",71.908188
"64",84.1233,45.6883,"2015",72.622468
"65",84.1233,45.6883,"2016",72.423475
"66",84.1233,45.6883,"2017",63.87754
"67",84.8861,45.6033,"2014",71.571426
"68",84.8861,45.6033,"2015",89.43876
"69",84.8861,45.6033,"2016",86.78572
"70",84.8861,45.6033,"2017",73.9796
"71",84.8861,45.6033,"2018",67.8571
"72",84.8888,45.5997,"2014",55.244856
"73",84.8888,45.5997,"2015",53.5714
"74",84.8888,45.5997,"2016",65.86732
"75",84.8888,45.5997,"2017",73.255116
"76",84.8888,45.5997,"2018",67.8571
"77",84.9041,44.3427,"2014",97.377572
"78",84.9041,44.3427,"2015",75.15306
"79",84.9041,44.3427,"2016",80.357135
"80",84.9041,44.3427,"2017",82.744936
"81",84.9041,44.3427,"2018",83.867376
"82",85.697,46.0893,"2014",57.438798
"83",85.697,46.0893,"2015",58.704112
"84",85.697,46.0893,"2016",57.06637
"85",85.697,46.0893,"2017",66.897924
"86",85.697,46.0893,"2018",62.60204
"87",86.0384,44.2976,"2015",59.867368
"88",86.0384,44.2976,"2016",74.92347
"89",86.0384,44.2976,"2017",86.673476
"90",86.0384,44.2976,"2018",70.923502
"91",86.0511,44.307,"2015",75.05102
"92",86.0511,44.307,"2016",68.59696
"93",86.0511,44.307,"2017",86.88776
"94",86.1501,41.7544,"2014",62.2449
"95",86.1501,41.7544,"2015",53.602012
"96",86.1501,41.7544,"2016",51.55611
"97",86.1501,41.7544,"2017",59.061252
"98",86.1501,41.7544,"2018",62.591836
"99",86.1995,41.7239,"2014",55.755056
"100",86.1995,41.7239,"2015",54.561188
"101",86.1995,41.7239,"2016",51.0204
"102",86.1995,41.7239,"2017",55.163224
"103",86.1995,41.7239,"2018",64.13264
"104",86.2359,41.7138,"2014",71.214316
"105",86.2359,41.7138,"2015",66.153032
"106",86.2359,41.7138,"2016",61.35205
"107",86.2359,41.7138,"2017",60.040836
"108",86.2359,41.7138,"2018",59.790838
"109",87.2786,44.0277,"2015",59.204108
"110",87.2786,44.0277,"2016",50.79081
"111",87.2786,44.0277,"2017",67.683674
"112",87.2786,44.0277,"2018",72.698998
"113",87.3118,44.0116,"2015",63.2771878
"114",87.3118,44.0116,"2016",49.84694
"115",87.3118,44.0116,"2017",74.612248
"116",87.3118,44.0116,"2018",67.102004
"117",87.4171,43.8729,"2013",59.4517318
"118",87.4171,43.8729,"2014",67.826488
"119",87.4171,43.8729,"2015",67.999956
"120",87.4171,43.8729,"2016",65.22957
"121",87.4171,43.8729,"2017",31.9944324
"122",87.4651,43.4569,"2017",61.93878
"123",87.4651,43.4569,"2018",69.74494
"124",87.4753,43.9469,"2013",53.90424
"125",87.4753,43.9469,"2014",57.46941
"126",87.4753,43.9469,"2015",53.97956
"127",87.4753,43.9469,"2016",44.74494
"128",87.4753,43.9469,"2017",63.438768
"129",87.4753,43.9469,"2018",77.382634
"130",87.5497,44.1759,"2015",61.724496
"131",87.5497,44.1759,"2016",66.70915
"132",87.5497,44.1759,"2017",64.08162
"133",87.5497,44.1759,"2018",73.270422
"134",87.5525,43.8711,"2013",67.153024
"135",87.5525,43.8711,"2014",65.336712
"136",87.5525,43.8711,"2015",69.051038
"137",87.5525,43.8711,"2016",63.06122
"138",87.5525,43.8711,"2017",66.22446
"139",87.5525,43.8711,"2018",72.72961
"140",87.5801,43.8303,"2013",61.642864
"141",87.5801,43.8303,"2014",59.153088
"142",87.5801,43.8303,"2015",35.91838
"143",87.5801,43.8303,"2016",62.2449
"144",87.5801,43.8303,"2017",61.612252
"145",87.5801,43.8303,"2018",72.841845
"146",87.6046,43.768,"2013",69.683686
"147",87.6046,43.768,"2014",54.397952
"148",87.6046,43.768,"2015",55.091796
"149",87.6046,43.768,"2016",37.47449
"150",87.6046,43.768,"2017",58.500002
"151",87.6046,43.768,"2018",67.010168
"152",87.6431,43.831,"2013",46.721247
"153",87.6431,43.831,"2014",51.765292
"154",87.6431,43.831,"2015",81.193916
"155",87.6431,43.831,"2016",65.68875
"156",87.6431,43.831,"2017",78.255076
"157",87.6431,43.831,"2018",72.642855
"158",87.6444,43.962,"2013",38.62244
"159",87.6444,43.962,"2014",53.183648
"160",87.6444,43.962,"2015",61.07144
"161",87.6444,43.962,"2016",63.34183
"162",87.6444,43.962,"2017",75.387752
"163",88.1098,43.9051,"2015",73.632664
"164",88.1098,43.9051,"2016",84.821435
"165",88.1098,43.9051,"2017",87.408164
"166",88.1351,47.9389,"2015",64.408148
"167",88.1351,47.9389,"2016",59.61737
"168",88.1351,47.9389,"2017",59.928592
"169",88.1351,47.9389,"2018",47.29594
"170",88.138,47.8497,"2015",57.020434
"171",88.138,47.8497,"2016",54.71935
"172",88.138,47.8497,"2017",59.091864
"173",88.7084,30.9309,"2017",42.515989
"174",88.8845,29.2403,"2015",63.36734
"175",88.8845,29.2403,"2016",71.8222615
"176",88.8845,29.2403,"2017",70.96942
"177",88.8845,29.2403,"2018",66.821394
"178",88.892,29.2703,"2015",59.357168
"179",88.892,29.2703,"2016",67.200458
"180",88.892,29.2703,"2017",63.066322
"181",89.1712,42.9567,"2015",67.04078
"182",89.1712,42.9567,"2016",82.015335
"183",89.1712,42.9567,"2017",75.7653
"184",89.1712,42.9567,"2018",37.556122
"185",89.1853,42.9469,"2015",54.112212
"186",89.1853,42.9469,"2016",84.61737
"187",89.1853,42.9469,"2017",72.234716
"188",89.1853,42.9469,"2018",44.801059
"189",91.0758,29.6339,"2013",80.742304
"190",91.0758,29.6339,"2014",68.785706
"191",91.0758,29.6339,"2015",72.7041
"192",91.0758,29.6339,"2016",78.3291065
"193",91.0758,29.6339,"2017",69.326564
"194",91.0758,29.6339,"2018",73.31634
"195",91.0832,29.6347,"2013",73.1331296
"196",91.0832,29.6347,"2014",71.510232
"197",91.0832,29.6347,"2015",78.7924644
"198",91.0832,29.6347,"2016",74.202645
"199",91.0832,29.6347,"2017",69.836776
"200",91.0832,29.6347,"2018",73.31634
